"filename", "language", "JSON", "HTML", "YAML", "Dart", "Markdown", "C++", "Swift", "Ruby", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\README.md", "Markdown", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 30, 71
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 10, 7, 49
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\google-services.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 11, 1, 53
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
