"filename", "language", "YAML", "Markdown", "Swift", "Dart", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\README.md", "Markdown", 0, 4, 0, 0, 0, 16, 20
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\authentication.dart", "Dart", 0, 0, 0, -38, 45, -7, 0
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\signedin_logic.dart", "Dart", 0, 0, 0, -28, -2, -4, -34
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\event.dart", "Dart", 0, 0, 0, -52, -1, -8, -61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\user.dart", "Dart", 0, 0, 0, -62, -1, -6, -69
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\basePage.dart", "Dart", 0, 0, 0, -2, 0, 2, 0
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\buyTicketPage.dart", "Dart", 0, 0, 0, 16, 6, 2, 24
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventDetails.dart", "Dart", 0, 0, 0, -1, 0, 1, 0
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\home_page.dart", "Dart", 0, 0, 0, 1, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\checkTheAccessToEvent.dart", "Dart", 0, 0, 0, -34, 0, 2, -32
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\scanner.dart", "Dart", 0, 0, 0, 1, 0, 1, 2
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\eventCreationScreen.dart", "Dart", 0, 0, 0, 1, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostProfile.dart", "Dart", 0, 0, 0, 0, -3, 2, -1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\selectEventForAction.dart", "Dart", 0, 0, 0, 2, 0, 2, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\confirm_identity_page.dart", "Dart", 0, 0, 0, 17, 0, 6, 23
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\finish_user_setup.dart", "Dart", 0, 0, 0, 164, 19, 20, 203
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\landing_page.dart", "Dart", 0, 0, 0, 131, 5, 22, 158
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\loginSignupPage.dart", "Dart", 0, 0, 0, 328, 32, 73, 433
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\login_fucntions.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpLogin.dart", "Dart", 0, 0, 0, -324, -63, -80, -467
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpScreen2.dart", "Dart", 0, 0, 0, 37, 60, 8, 105
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signedin_logic.dart", "Dart", 0, 0, 0, 29, 1, 4, 34
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\verify_email_page.dart", "Dart", 0, 0, 0, 30, 0, 7, 37
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\socialPage.dart", "Dart", 0, 0, 0, 342, 109, 51, 502
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile.dart", "Dart", 0, 0, 0, 397, 5, 53, 455
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile_screen.dart", "Dart", 0, 0, 0, 30, -4, 4, 30
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_settings.dart", "Dart", 0, 0, 0, 52, 0, 3, 55
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\yourEvents.dart", "Dart", 0, 0, 0, 17, 85, 12, 114
