"filename", "language", "JSON", "YAML", "Markdown", "C++", "Swift", "Dart", "XML", "Ruby", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\README.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 91
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 10, 7, 49
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\google-services.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 11, 1, 53
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 5, 29
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\assets\icons\home-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\assets\icons\home-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\cors.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\devtools_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\firebase.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 10, 45
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 1, 30
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 12, 5, 76
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 7, 50
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\authentication.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 58, 16, 126
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\storage_methods.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 13, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\providers\user_provider.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 12, 6, 37
